,strategy
PG,2.0
VIPS,2.0
KR,0.0
RAD,2.0
GIS,1.0
PM,0.0
KO,2.0
WMT,2.0
MDLZ,0.0
MO,0.0
ABEV,2.0
TAL,0.0
BRFS,2.0
KHC,2.0
NWL,0.0
KMB,1.0
CPB,0.0
TGT,2.0
HRL,0.0
CAG,0.0
PEP,2.0
COST,0.0
COTY,0.0
MNST,0.0
SJM,0.0
CL,2.0
ADM,2.0
DG,2.0
TAP,0.0
SYY,2.0
CHD,1.0
BG,2.0
PBH,0.0
BIG,2.0
STZ,0.0
SFM,2.0
AVP,2.0
HMHC,2.0
POST,0.0
EL,0.0
PPC,2.0
DLTR,1.0
GNC,2.0
DF,2.0
HLF,0.0
TWNK,2.0
BUD,0.0
CHGG,2.0
AGRO,0.0
CASY,0.0
MGPI,0.0
EDU,0.0
TSN,0.0
MKC,0.0
HAIN,2.0
HSY,2.0
PFGC,0.0
UN,0.0
CHEF,2.0
PRMW,0.0
FRPT,2.0
FMX,1.0
CLX,0.0
VGR,0.0
SPB,2.0
PETS,0.0
THS,2.0
OLLI,2.0
BURL,2.0
IPAR,2.0
INGR,0.0
SAFM,2.0
DEO,2.0
UNFI,2.0
UL,1.0
LOPE,2.0
EPC,2.0
CCU,0.0
CALM,0.0
CORE,0.0
CRESY,0.0
FIZZ,0.0
UVV,0.0
FDP,0.0
NUS,2.0
PSMT,2.0
CENTA,0.0
LBY,2.0
HELE,0.0
CVGW,2.0
TUES,2.0
TEDU,2.0
ATGE,2.0
UTI,2.0
CENT,0.0
LANC,0.0
SAM,2.0
WMK,2.0
STRA,2.0
GPX,2.0
APEI,2.0
KOF,2.0
NBEV,0.0
NAUH,2.0
IMKTA,0.0
CECO,2.0
TR,2.0
ANDE,2.0
VLGEA,2.0
REV,2.0
JBSS,0.0
LRN,2.0
HLG,2.0
JJSF,1.0
RIBT,2.0
FC,2.0
LNDC,2.0
LMNR,2.0
FARM,0.0
BREW,2.0
SEED,2.0
COKE,0.0
ANFI,2.0
DL,2.0
COE,2.0
SENEA,2.0
CHSCM,1.0
CHSCN,1.0
BRID,1.0
CHSCL,0.0
LFVN,2.0
NAII,0.0
SANW,1.0
YGYI,0.0
UG,2.0
LWAY,2.0
ACU,2.0
ALCO,2.0
ASPU,2.0
CHSCO,2.0
CHSCP,2.0
CJJD,2.0
CYAN,2.0
DIT,2.0
DTEA,2.0
FTFT,2.0
IBA,2.0
JVA,2.0
LINC,2.0
LND,2.0
MTEX,2.0
NATR,2.0
NGVC,2.0
NHTC,0.0
OBCI,2.0
PME,2.0
REED,2.0
RELV,2.0
RMCF,2.0
SENEB,2.0
THST,2.0
WILC,2.0
WVVI,0.0
CX,2.0
VALE,2.0
AKS,2.0
GSM,2.0
FCX,2.0
